"","cohort","mouse","day","creatinine"
"264",58,"mouse11","pair2",47.247619047619
"265",58,"mouse11","pair3",76.5333333333333
"266",53,"mouse12","day15",106.7020128
"267",53,"mouse12","day13",76.50223429
"268",53,"mouse12","day17",65.84585174
"269",53,"mouse12","day14",88.45557192
"270",53,"mouse12","day1",96
"271",53,"mouse12","day4",95.10204082
"272",53,"mouse12","pair3",90
"273",53,"mouse12","day2",102.2857143
"274",53,"mouse12","day19",72.56830601
"275",53,"mouse12","day7",91.22292103
"276",53,"mouse12","day5",89.3877551
"277",53,"mouse12","day6",79.59183673
"278",53,"mouse12","day12",86.62753001
"279",53,"mouse12","pair1",134.5
"280",53,"mouse12","pair2",78
"281",53,"mouse12","day9",83.74563242
"282",53,"mouse12","day3",109.1428571
"283",53,"mouse12","day11",73.50214667
"284",53,"mouse12","day10",109.1684137
"285",54,"mouse12","day9",43.18234908
"286",54,"mouse12","day7",28.66085116
"287",54,"mouse12","pair3",31.39455782
"288",54,"mouse12","pair1",71.2414966
"289",54,"mouse12","pair2",6.842403628
"290",54,"mouse12","day6",49.95403567
"291",54,"mouse12","day19",14.61538462
"292",54,"mouse12","day1",27.32712215
"293",54,"mouse12","day5",26.51406509
"294",54,"mouse12","day15",18.21910416
"295",54,"mouse12","day17",34.16082029
"296",54,"mouse12","day11",36.3037448
"297",54,"mouse12","day13",28.08778557
"298",54,"mouse12","day2",42.82608696
"299",54,"mouse12","day3",44.86542443
"300",54,"mouse12","day4",20.36587608
"301",55,"mouse12","pair1",67.02687001
"302",55,"mouse12","day5",78.52688073
"303",55,"mouse12","day6",84.30091607
"304",55,"mouse12","day19",59.67213115
"305",55,"mouse12","day3",133.6958393
"306",55,"mouse12","day4",96.23392246
"307",55,"mouse12","day15",80.47850467
"308",55,"mouse12","day17",81.63925234
"309",55,"mouse12","day2",80.98421808
"310",55,"mouse12","day13",61.51962617
"311",55,"mouse12","day1",98.71449067
"312",55,"mouse12","pair2",64.61583152
"313",55,"mouse12","day11",83.42625265
"314",55,"mouse12","pair3",62.20479303
"315",55,"mouse12","day7",92.06951306
"316",55,"mouse12","day9",49.9805928
"317",56,"mouse12","day4",44.9825918762089
"318",56,"mouse12","day15",37.2957084068195
"319",56,"mouse12","day2",47.9394287904926
"320",56,"mouse12","day3",53.4406747172705
"321",56,"mouse12","day13",27.4594776182078
"322",56,"mouse12","day7",50.8811188811189
"323",56,"mouse12","day17",30.3283782648862
"324",56,"mouse12","day1",52.2618363043895
"325",56,"mouse12","day5",50.1121856866538
"326",56,"mouse12","day19",95.7692307692308
"327",56,"mouse12","day9",70.7097902097902
"328",56,"mouse12","day11",55.7447552447552
"329",56,"mouse12","pair2",42.8261896616327
"330",56,"mouse12","day6",59.1876208897486
"331",56,"mouse12","pair1",43.2302103188179
"332",56,"mouse12","pair3",30.7055699460763
"333",57,"mouse12","pair2",44.7114624505929
"334",57,"mouse12","pair3",49.901185770751
"335",57,"mouse12","day19",22.6086956521739
"336",57,"mouse12","day7",36.8065967016492
"337",57,"mouse12","day11",25.7646176911544
"338",57,"mouse12","day17",31.9066147859922
"339",57,"mouse12","day6",55.7960064759849
"340",57,"mouse12","day15",19.4552529182879
"341",57,"mouse12","pair1",59.4822134387352
"342",57,"mouse12","day1",43.1047937569677
"343",57,"mouse12","day13",27.6264591439689
"344",57,"mouse12","day3",46.5997770345596
"345",57,"mouse12","day9",24.1287689488589
"346",57,"mouse12","day5",50.4821010973197
"347",57,"mouse12","day2",36.8914901523597
"348",57,"mouse12","day4",42.5112430293218
"349",58,"mouse12","pair2",25.7714285714286
"350",58,"mouse12","day5",59.8215488215488
"351",58,"mouse12","day17",67.0909090909091
"352",58,"mouse12","day19",58.2608695652174
"353",58,"mouse12","pair1",79.6571428571428
"354",58,"mouse12","day13",80.4306220095694
"355",58,"mouse12","day11",45.9794821690279
"356",58,"mouse12","day6",67.1616161616162
"357",58,"mouse12","day7",54.3795798729849
"358",58,"mouse12","day9",56.1480214948705
"359",58,"mouse12","pair3",46.4666666666667
"360",58,"mouse12","day15",70.622009569378
"361",58,"mouse12","day2",59.6088745750582
"362",58,"mouse12","day3",67.2023617820719
"363",58,"mouse12","day4",64.959595959596
"364",58,"mouse12","day1",56.5714796922526
"365",53,"mouse2","day4",82.04081633
"366",53,"mouse2","day6",75.10204082
"367",53,"mouse2","day11",71.25208096
"368",53,"mouse2","day10",67.66946191
"369",53,"mouse2","day13",60.37676334
"370",53,"mouse2","day14",62.67255768
"371",53,"mouse2","day5",64.89795918
"372",53,"mouse2","day12",75.37720144
"373",53,"mouse2","day17",55.13598429
"374",53,"mouse2","day19",81.09289617
"375",53,"mouse2","day7",64.67854647
"376",53,"mouse2","day9",53.83647799
"377",53,"mouse2","pair1",47
"378",53,"mouse2","day1",52
"379",53,"mouse2","day2",70.85714286
"380",53,"mouse2","day15",78.53902798
"381",53,"mouse2","day3",99.42857143
"382",53,"mouse2","pair2",55.5
"383",53,"mouse2","pair3",48.5
"384",54,"mouse2","pair3",43.46938776
