"","cohort","mouse","day","MUPs"
"501",55,"mouse3","day3",50.83370634
"502",55,"mouse3","pair1",11.82054988
"503",55,"mouse3","day7",80.78459798
"504",55,"mouse3","day9",50.30752498
"505",55,"mouse3","day11",55.30211566
"506",55,"mouse3","day6",134.7531256
"507",55,"mouse3","pair2",11.44312118
"508",55,"mouse3","day13",100.7993262
"509",55,"mouse3","day15",64.44334845
"510",55,"mouse3","day1",30.23295583
"511",55,"mouse3","day2",32.05661524
"512",55,"mouse3","day17",137.2964235
"513",55,"mouse3","day19",143.5307495
"514",55,"mouse3","pair3",29.81026372
"515",56,"mouse3","day3",19.00651117
"516",56,"mouse3","day9",30.03500126
"517",56,"mouse3","day2",23.18564336
"518",56,"mouse3","pair2",15.18086099
"519",56,"mouse3","pair3",34.95449944
"520",56,"mouse3","pair1",5.491931941
"521",56,"mouse3","day6",23.75380525
"522",56,"mouse3","day7",31.92429546
"523",56,"mouse3","day4",23.60604359
"524",56,"mouse3","day5",23.36759871
"525",56,"mouse3","day15",52.00054256
"526",56,"mouse3","day17",58.60464515
"527",56,"mouse3","day19",96.84744357
"528",56,"mouse3","day13",77.39476129
"529",56,"mouse3","day11",35.09321278
"530",56,"mouse3","day1",28.87117224
"531",57,"mouse3","day2",16.08370868
"532",57,"mouse3","day5",14.94992921
"533",57,"mouse3","day6",14.93727301
"534",57,"mouse3","day3",14.63330151
"535",57,"mouse3","day4",13.63194977
"536",57,"mouse3","day11",16.31702951
"537",57,"mouse3","pair1",18.58763971
"538",57,"mouse3","pair2",21.14819575
"539",57,"mouse3","pair3",22.8656979
"540",57,"mouse3","day1",18.49958397
"541",57,"mouse3","day19",26.48264541
"542",57,"mouse3","day7",17.57952396
"543",57,"mouse3","day15",19.10494868
"544",57,"mouse3","day9",18.852251
"545",57,"mouse3","day13",22.77868642
"546",57,"mouse3","day17",22.74217312
"547",58,"mouse3","pair1",10.66195059
"548",58,"mouse3","day2",14.68385451
"549",58,"mouse3","day1",19.80331611
"550",58,"mouse3","day13",13.94199379
"551",58,"mouse3","pair2",11.65311546
"552",58,"mouse3","pair3",14.65162332
"553",58,"mouse3","day19",13.45110899
"554",58,"mouse3","day4",10.90656322
"555",58,"mouse3","day15",15.55845369
"556",58,"mouse3","day17",13.52006211
"557",58,"mouse3","day3",12.48361519
"558",58,"mouse3","day6",8.769358603
"559",58,"mouse3","day7",10.8254988
"560",58,"mouse3","day9",10.98115867
"561",58,"mouse3","day5",10.83003709
"562",58,"mouse3","day11",11.63749227
"563",53,"mouse4","day6",20.08576315
"564",53,"mouse4","day15",19.88300165
"565",53,"mouse4","day17",18.33350071
"566",53,"mouse4","day14",16.70890665
"567",53,"mouse4","day3",11.5565778
"568",53,"mouse4","day7",16.12252059
"569",53,"mouse4","pair1",8.140060138
"570",53,"mouse4","day13",17.40125484
"571",53,"mouse4","day5",15.36969713
"572",53,"mouse4","day2",11.88377687
"573",53,"mouse4","pair2",23.75017994
"574",53,"mouse4","day19",15.17180964
"575",53,"mouse4","day10",17.85467918
"576",53,"mouse4","day11",18.43544602
"577",53,"mouse4","day4",15.05700112
"578",53,"mouse4","day9",15.58385845
"579",53,"mouse4","pair3",19.6099149
"580",53,"mouse4","day1",17.66096637
"581",53,"mouse4","day12",16.91546074
"582",54,"mouse4","day3",7.482203969
"583",54,"mouse4","day6",9.161449757
"584",54,"mouse4","day7",7.445857817
"585",54,"mouse4","pair1",NA
"586",54,"mouse4","day9",10.42285807
"587",54,"mouse4","day5",7.981029034
"588",54,"mouse4","pair3",NA
"589",54,"mouse4","day1",9.623278306
"590",54,"mouse4","day15",13.43219234
"591",54,"mouse4","pair2",NA
"592",54,"mouse4","day11",NA
"593",54,"mouse4","day2",6.720606769
"594",54,"mouse4","day4",8.498659694
"595",54,"mouse4","day13",NA
"596",54,"mouse4","day19",17.35688571
"597",54,"mouse4","day17",10.63135238
"598",55,"mouse4","day5",9.943143835
"599",55,"mouse4","day4",12.22419025
"600",55,"mouse4","day6",13.78099537
"601",55,"mouse4","day9",13.14296513
"602",55,"mouse4","day1",17.45861117
"603",55,"mouse4","day7",10.94295507
"604",55,"mouse4","pair3",18.95682589
"605",55,"mouse4","pair2",6.680940247
"606",55,"mouse4","day11",13.50965503
"607",55,"mouse4","pair1",15.38656283
"608",55,"mouse4","day15",40.56608131
"609",55,"mouse4","day17",33.73515456
"610",55,"mouse4","day13",34.82750136
"611",55,"mouse4","day3",11.33035623
"612",55,"mouse4","day2",16.48839367
"613",55,"mouse4","day19",59.66124459
"614",56,"mouse4","day2",15.99143325
"615",56,"mouse4","pair1",8.521184074
"616",56,"mouse4","day3",14.19532123
"617",56,"mouse4","day4",13.07223808
"618",56,"mouse4","pair2",14.58943526
"619",56,"mouse4","pair3",21.65668685
"620",56,"mouse4","day1",27.03267405
"621",56,"mouse4","day7",16.95314008
"622",56,"mouse4","day9",14.89095827
"623",56,"mouse4","day5",15.89923779
"624",56,"mouse4","day6",11.68880258
"625",56,"mouse4","day19",27.78375675
"626",56,"mouse4","day13",40.65608369
"627",56,"mouse4","day15",49.75907157
"628",56,"mouse4","day11",15.76445713
"629",56,"mouse4","day17",33.74452826
"630",57,"mouse4","pair2",23.20719395
"631",57,"mouse4","pair3",33.14068391
"632",57,"mouse4","pair1",19.23507625
"633",57,"mouse4","day11",15.10672544
"634",57,"mouse4","day3",16.88644087
"635",57,"mouse4","day13",19.94807708
"636",57,"mouse4","day1",19.59189318
"637",57,"mouse4","day2",19.19309436
"638",57,"mouse4","day9",15.73080218
"639",57,"mouse4","day5",14.65814226
"640",57,"mouse4","day15",16.44789106
"641",57,"mouse4","day17",17.98790096
"642",57,"mouse4","day19",16.01890512
"643",57,"mouse4","day6",16.49920565
"644",57,"mouse4","day4",14.50111587
"645",57,"mouse4","day7",23.55613956
"646",58,"mouse4","day13",40.25484121
"647",58,"mouse4","pair1",11.60370279
"648",58,"mouse4","day19",43.89259614
"649",58,"mouse4","day9",23.98359959
"650",58,"mouse4","pair2",13.28115753
"651",58,"mouse4","pair3",20.52879606
"652",58,"mouse4","day1",19.24750831
"653",58,"mouse4","day15",55.50653141
"654",58,"mouse4","day17",35.3641958
"655",58,"mouse4","day6",22.68993021
"656",58,"mouse4","day7",32.21166155
"657",58,"mouse4","day5",27.76580479
"658",58,"mouse4","day2",20.77819972
"659",58,"mouse4","day11",27.54104464
"660",58,"mouse4","day4",28.82717538
"661",58,"mouse4","day3",34.39344554
"662",53,"mouse5","day9",14.28338151
"663",53,"mouse5","day10",12.8502625
"664",53,"mouse5","day6",12.27980939
"665",53,"mouse5","day3",9.814942157
"666",53,"mouse5","day4",12.16598609
"667",53,"mouse5","day7",12.81741207
"668",53,"mouse5","pair1",12.69043855
"669",53,"mouse5","pair2",9.09343237
"670",53,"mouse5","day17",14.28810981
"671",53,"mouse5","day19",17.72825444
"672",53,"mouse5","day5",12.26412786
"673",53,"mouse5","day1",17.66671738
"674",53,"mouse5","day11",14.41473957
"675",53,"mouse5","day12",11.86222522
"676",53,"mouse5","day13",13.28688207
"677",53,"mouse5","day2",16.67110892
"678",53,"mouse5","day15",14.60903424
"679",53,"mouse5","pair3",17.37155296
"680",53,"mouse5","day14",13.11451269
"681",54,"mouse5","day2",8.61159962
"682",54,"mouse5","day3",7.438809879
"683",54,"mouse5","day1",10.34260479
"684",54,"mouse5","day17",6.84055485
"685",54,"mouse5","day5",8.914253403
"686",54,"mouse5","pair2",NA
"687",54,"mouse5","day4",11.51641297
"688",54,"mouse5","day7",7.544366871
"689",54,"mouse5","pair3",NA
"690",54,"mouse5","day6",11.92130447
"691",54,"mouse5","day19",24.44904073
"692",54,"mouse5","day9",12.7249497
