"","cohort","mouse","day","protein"
"250",58,"mouse11","day7",7.29504533360159
"251",58,"mouse11","day3",7.44031945444219
"252",58,"mouse11","day6",7.19831779529681
"253",58,"mouse11","day11",8.527034294631
"254",58,"mouse11","day17",8.63370979215163
"255",58,"mouse11","day13",8.78138864336108
"256",58,"mouse11","day2",7.92650530349339
"257",58,"mouse11","day1",5.64918712057756
"258",58,"mouse11","day4",6.86615242436151
"259",58,"mouse11","pair1",4.39019173385251
"260",58,"mouse11","day9",7.5879762027606
"261",58,"mouse11","day5",7.06592994050571
"262",58,"mouse11","day15",8.89636328275318
"263",58,"mouse11","day19",8.4630058195979
"264",58,"mouse11","pair2",4.24317766593562
"265",58,"mouse11","pair3",6.60146067254212
"266",53,"mouse12","day15",12.93030662
"267",53,"mouse12","day13",7.069440322
"268",53,"mouse12","day17",9.461514977
"269",53,"mouse12","day14",10.29869718
"270",53,"mouse12","day1",7.611704861
"271",53,"mouse12","day4",11.17597654
"272",53,"mouse12","pair3",11.87468008
"273",53,"mouse12","day2",12.6612526
"274",53,"mouse12","day19",10.56031853
"275",53,"mouse12","day7",11.53157761
"276",53,"mouse12","day5",9.758777704
"277",53,"mouse12","day6",10.66781216
"278",53,"mouse12","day12",9.068189757
"279",53,"mouse12","pair1",7.59676756
"280",53,"mouse12","pair2",6.419223695
"281",53,"mouse12","day9",11.13237026
"282",53,"mouse12","day3",10.48129628
"283",53,"mouse12","day11",9.811825468
"284",53,"mouse12","day10",8.222028272
"285",54,"mouse12","day9",8.951660839
"286",54,"mouse12","day7",7.513966471
"287",54,"mouse12","pair3",6.951978564
"288",54,"mouse12","pair1",1.408225262
"289",54,"mouse12","pair2",1.153038143
"290",54,"mouse12","day6",8.24260365
"291",54,"mouse12","day19",16.40821076
"292",54,"mouse12","day1",7.390569755
"293",54,"mouse12","day5",6.324031576
"294",54,"mouse12","day15",12.1922958
"295",54,"mouse12","day17",15.00929887
"296",54,"mouse12","day11",7.086086325
"297",54,"mouse12","day13",17.76948609
"298",54,"mouse12","day2",8.951100511
"299",54,"mouse12","day3",9.460256003
"300",54,"mouse12","day4",5.488891254
"301",55,"mouse12","pair1",10.40244534
"302",55,"mouse12","day5",10.58636629
"303",55,"mouse12","day6",10.32332368
"304",55,"mouse12","day19",9.886202603
"305",55,"mouse12","day3",11.90183
"306",55,"mouse12","day4",10.94419123
"307",55,"mouse12","day15",11.50118758
"308",55,"mouse12","day17",10.28278684
"309",55,"mouse12","day2",11.1721779
"310",55,"mouse12","day13",10.68054924
"311",55,"mouse12","day1",10.04320951
"312",55,"mouse12","pair2",11.30816358
"313",55,"mouse12","day11",10.23313181
"314",55,"mouse12","pair3",17.48191831
"315",55,"mouse12","day7",10.41051477
"316",55,"mouse12","day9",9.491672127
"317",56,"mouse12","day4",8.826690106
"318",56,"mouse12","day15",16.35339579
"319",56,"mouse12","day2",10.54752939
"320",56,"mouse12","day3",11.03681385
"321",56,"mouse12","day13",14.38191169
"322",56,"mouse12","day7",7.670363541
"323",56,"mouse12","day17",10.19843335
"324",56,"mouse12","day1",11.10422231
"325",56,"mouse12","day5",8.31581672
"326",56,"mouse12","day19",20.59472101
"327",56,"mouse12","day9",9.010962386
"328",56,"mouse12","day11",10.19529492
"329",56,"mouse12","pair2",4.58456786
"330",56,"mouse12","day6",11.25675118
"331",56,"mouse12","pair1",1.938925572
"332",56,"mouse12","pair3",7.800689766
"333",57,"mouse12","pair2",8.96847059212428
"334",57,"mouse12","pair3",10.1233760900468
"335",57,"mouse12","day19",8.40696133822703
"336",57,"mouse12","day7",7.91147171499275
"337",57,"mouse12","day11",7.87685551446787
